rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
8283	C10H11Cl	[M + K]+	C10H11Cl	7.798003731685313	7.798003731685313	0.0	2	0.5685165143773032	-0.6979125736136569	4.112086643678731	-4.9841655717280835		205.01706	606.5489959716797	8267_CCE1706_MZmine3_SIRIUS_fixed_36011
8284	C15H35N5	[M + Na]+	C15H35N5	7.791337502856226	4.672948476365203	3.1183890264910232	4	0.0893854748603352	0.7701261754433099	1.90788679143252	0.9858477919573218		308.27877	570.7439804077148	7500_CCE1706_MZmine3_SIRIUS_fixed_33738
8285	C29H50O8	[M + Na]+	C29H50O8	7.753911371118689	4.0810603109949	3.6728510601237887	6	0.5273972602739726	-0.27118458877855356	1.2807964841073936	-0.7715159885316135		549.33937	657.6009750366211	9420_CCE1706_MZmine3_SIRIUS_fixed_39443
8286	C21H22O	[M + H]+	C21H22O	7.719285934949559	7.719285934949559	0.0	3	0.00885013766880818	1.6669363069988596	2.0570389808914955	-4.576356718405424		291.17301	212.31800079345703	1709_CCE1706_MZmine3_SIRIUS_fixed_6001
8287	C22H38N4O3	[M + Na]+	C22H38N4O3	7.665877013645769	4.240621725886752	3.4252552877590174	6	0.5714285714285714	-2.011308289908045	2.4391295685066794	-2.3764057932164064		429.28259	635.1644897460938	8963_CCE1706_MZmine3_SIRIUS_fixed_38276
8288	C24H46O7	[M + Na]+	C24H46O7	7.663862178471743	3.83429337961328	3.829568798858463	2	0.21544715447154472	-1.8515940523508114	1.8515940523508114	-0.6402203452509336		469.31327	665.2399921417236	9544_CCE1706_MZmine3_SIRIUS_fixed_39696
8289	C31H30N2O6	[M + Na]+	C31H30N2O6	7.661173462473989	7.661173462473989	0.0	9	0.42621643180005314	-0.372471138493398	2.0828284176904757	-2.3258657340134135		549.19833	572.8133168444037	7534_CCE1706_MZmine3_SIRIUS_fixed_33841
8290	C35H64O4	[M + Na]+	C35H64O4	7.621681329696151	7.621681329696151	0.0	2	0.5187969924812029	2.044111588165161	2.044111588165161	1.0600489851128918		571.47029	754.5517301559448	10303_CCE1706_MZmine3_SIRIUS_fixed_41381
8291	C23H41N	[M + H]+	C23H41N	7.619564600712013	4.428145859155406	3.191418741556607	5	0.9998256130790191	0.6149182560085551	0.8056281742225496	-1.2725506645081877		332.33075	765.6834344919077	10366_CCE1706_MZmine3_SIRIUS_fixed_41531
8292	C9H5Cl2NS	[M + H]+	C9H5Cl2NS	7.608749769472926	7.608749769472926	0.0	3	0.22884012539184947	-6.00598049553602	6.00598049553602	-4.144467826569428		229.95830	39.54224914312363	225_CCE1706_MZmine3_SIRIUS_fixed_928
8293	C25H40O9	[M + Na]+	C25H40O9	7.60777919388495	7.60777919388495	0.0	8	0.4948717948717947	0.002874212997175468	1.0426296064382985	-0.9215321707110682		507.25599	558.5619735717773	7400_CCE1706_MZmine3_SIRIUS_fixed_33451
8294	C28H37NO5	[M + Na]+	C28H37NO5	7.582327344040463	3.9555884413187616	3.6267389027217014	3	0.8871353419416546	1.0433605525506788	1.0433605525506788	0.1414280243594744		490.25646	367.7150058746338	4075_CCE1706_MZmine3_SIRIUS_fixed_20513
8295	C22H31N5O2	[M + K]+	C22H31N5O2	7.581475847076525	7.581475847076525	0.0	6	1.0000000000000002	-0.6501439390983386	0.9810173126272738	-3.562148001902051		436.20938	281.7467196317443	2802_CCE1706_MZmine3_SIRIUS_fixed_12472
