ID1,ID2,EdgeType,Score,Annotation
34160,34174,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0375
34358,34366,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
34526,35216,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
34942,34950,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
35632,35633,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
35646,35653,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
35660,35661,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
35660,35663,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
35661,35663,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
36444,36535,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9821
37231,37234,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
37429,37432,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9824
37543,37549,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
37549,37579,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
37565,37568,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
38255,38282,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9824
38407,38412,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
38449,38457,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
38449,38453,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
38453,38457,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
38465,38471,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
38465,38470,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9925
38467,38475,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9824
38467,38483,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
38475,38483,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0270
38489,38526,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
38559,38560,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
38563,38568,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
38563,38566,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
38566,38568,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
38623,38624,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
38673,38675,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
38692,38696,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
38716,38736,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
38860,39316,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9924
38865,38877,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0272
38896,38898,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
39027,39029,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
39267,39273,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9824
39267,39284,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
39273,39284,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0271
39275,39281,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
39275,39277,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
39277,39281,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
39290,39316,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9817
39465,39466,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
39486,39487,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
39540,39544,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
39566,39567,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
39626,39631,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
39647,39656,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
39649,39652,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
39912,39928,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
39948,39952,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
40071,40075,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
40086,40204,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
40109,40112,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
40250,40253,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
40314,40315,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
40634,40638,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9818
40646,40647,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
40846,40904,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
40926,40948,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
41007,41010,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
41007,41022,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
41010,41022,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
41623,41718,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
41931,41933,MS1 annotation,2.000,[M+H]+ [M-H2O+Na]+ dm/z=3.9711
42043,42055,MS1 annotation,2.000,[M-H2O+Na]+ [M+H]+ dm/z=3.9710
