name1,name2,name3,name4
P1706_C2_2_001_1_C2,P1706_060,CCE_P1706_98,CCE_P1706_98_MSMS
P1706_C2_3_100_6_C,P1706_061,CCE_P1706_99,CCE_P1706_99_MSMS
P1706_C2_3_100_6_C2,P1706_061,CCE_P1706_100,CCE_P1706_100_MSMS
P1706_C2_3_070_5_C,P1706_062,CCE_P1706_101,CCE_P1706_101_MSMS
P1706_C2_3_070_5_C2,P1706_062,CCE_P1706_102,CCE_P1706_102_MSMS
P1706_C2_3_038_4_C,P1706_063,CCE_P1706_103,CCE_P1706_103_MSMS
P1706_C2_3_038_4_C2,P1706_063,CCE_P1706_104,CCE_P1706_104_MSMS
P1706_C2_3_024_3_C,P1706_064,CCE_P1706_105,CCE_P1706_105_MSMS
P1706_C2_3_024_3_C2,P1706_064,CCE_P1706_106,CCE_P1706_106_MSMS
P1706_C2_3_015_2_C,P1706_065,CCE_P1706_107,CCE_P1706_107_MSMS
P1706_C2_3_015_2_C2,P1706_065,CCE_P1706_108,CCE_P1706_108_MSMS
P1706_C2_3_000_1_C,P1706_066,CCE_P1706_109,CCE_P1706_109_MSMS
P1706_C2_3_000_1_C2,P1706_066,CCE_P1706_110,CCE_P1706_110_MSMS
P1706_C2_4_100_6_C,P1706_067,CCE_P1706_111,CCE_P1706_111_MSMS
P1706_C2_4_100_6_C2,P1706_067,CCE_P1706_112,CCE_P1706_112_MSMS
P1706_C2_4_070_5_C,P1706_068,CCE_P1706_113,CCE_P1706_113_MSMS
P1706_C2_4_070_5_C2,P1706_068,CCE_P1706_114,CCE_P1706_114_MSMS
P1706_C2_4_047_4_C,P1706_069,CCE_P1706_115,CCE_P1706_115_MSMS
P1706_C2_4_047_4_C2,P1706_069,CCE_P1706_116,CCE_P1706_116_MSMS
P1706_C2_4_022_3_C,P1706_070,CCE_P1706_117,CCE_P1706_117_MSMS
P1706_C2_4_022_3_C2,P1706_070,CCE_P1706_118,CCE_P1706_118_MSMS
P1706_C2_4_015_2_C,P1706_071,CCE_P1706_119,CCE_P1706_119_MSMS
P1706_C2_4_015_2_C2,P1706_071,CCE_P1706_120,CCE_P1706_120_MSMS
P1706_C2_4_003_1_C,P1706_072,CCE_P1706_121,CCE_P1706_121_MSMS
P1706_C2_4_003_1_C2,P1706_072,CCE_P1706_122,CCE_P1706_122_MSMS
P1706_T2_01_100_6_A,P1706_075,CCE_P1706_123,CCE_P1706_123_MSMS
P1706_T2_01_075_5_A,P1706_076,CCE_P1706_124,CCE_P1706_124_MSMS
P1706_T2_01_030_4_A,P1706_077,CCE_P1706_125,CCE_P1706_125_MSMS
P1706_T2_01_020_3_A,P1706_078,CCE_P1706_126,CCE_P1706_126_MSMS
P1706_T2_01_010_2_A,P1706_079,CCE_P1706_127,CCE_P1706_127_MSMS
P1706_T2_01_001_1_A,P1706_080,CCE_P1706_128,CCE_P1706_128_MSMS
P1706_T2_03_100_6_B,P1706_081,CCE_P1706_129,CCE_P1706_129_MSMS
P1706_T2_03_075_5_B,P1706_082,CCE_P1706_130,CCE_P1706_130_MSMS
P1706_T2_03_030_4_B,P1706_083,CCE_P1706_131,CCE_P1706_131_MSMS
P1706_T2_03_020_3_B,P1706_084,CCE_P1706_132,CCE_P1706_132_MSMS
P1706_T2_03_010_2_B,P1706_085,CCE_P1706_133,CCE_P1706_133_MSMS
P1706_T2_03_000_1_B,P1706_086,CCE_P1706_134,CCE_P1706_134_MSMS
P1706_T2_07_080_6_C,P1706_087,CCE_P1706_135,CCE_P1706_135_MSMS
P1706_T2_07_060_5_C,P1706_088,CCE_P1706_136,CCE_P1706_136_MSMS
P1706_T2_07_024_4_C,P1706_089,CCE_P1706_137,CCE_P1706_137_MSMS
P1706_T2_07_016_3_C,P1706_090,CCE_P1706_138,CCE_P1706_138_MSMS
P1706_T2_07_008_2_C,P1706_091,CCE_P1706_139,CCE_P1706_139_MSMS
P1706_T2_07_000_1_C,P1706_092,CCE_P1706_140,CCE_P1706_140_MSMS
P1706_T2_09_100_6_D,P1706_093,CCE_P1706_141,CCE_P1706_141_MSMS
P1706_T2_09_075_5_D,P1706_094,CCE_P1706_142,CCE_P1706_142_MSMS
P1706_T2_09_030_4_D,P1706_095,CCE_P1706_143,CCE_P1706_143_MSMS
