rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
13	C28H52NO7P	[M + H]+	C28H52NO7P	4023.5897678215124	4023.5897678215124	0.0	6	0.9615790150443617	0.45373771950222097	0.5108642759205678	-0.3986226983757307	LPC(20:3)	546.35520	609.495246765727	5208_CCE1706_MZmine3_SIRIUS_1_36202
14	C25H44NO7P	[M + Na]+	C25H44NO7P	4012.3091858349367	4012.3091858349367	0.0	5	1.0	0.9113862635100698	0.9113862635100698	-0.5029716897989907	LPE(20:4)	524.27450	594.4559955596924	5047_CCE1706_MZmine3_SIRIUS_1_35477
15	C26H50NO7P	[M + H]+	C26H50NO7P	4010.1664003952665	4010.1664003952665	0.0	6	0.9739086274960712	0.4291218039565672	0.4291218039565672	0.04684291870246266	LPC(18:2)	520.33979	597.4349183674165	5048_CCE1706_MZmine3_SIRIUS_1_35481
16	C26H52NO7P	[M + H]+	C26H52NO7P	4009.9626294556215	4009.9626294556215	0.0	6	1.0	0.1930010514007436	0.23420621971040256	0.5236197623401982	LPC(18:1)	522.35569	616.746121985208	5492_CCE1706_MZmine3_SIRIUS_1_37609
17	C26H46NO7P	[M + H]+	C26H46NO7P	4009.829195421634	4009.829195421634	0.0	6	1.0	0.26024423483810094	0.5143712459012966	-1.0258969511560398	LPC(18:4)	516.30794	565.6107495082535	4617_CCE1706_MZmine3_SIRIUS_1_33550
18	C28H50NO7P	[M + H]+	C28H50NO7P	4009.7694495605206	4009.7694495605206	0.0	6	1.0	-0.1439584035803661	0.18315725253681414	-0.8472307928063837	LPC(20:4)	544.33930	595.6603584350928	4983_CCE1706_MZmine3_SIRIUS_1_35209
19	C28H48NO7P	[M + H]+	C28H48NO7P	4009.6831870942196	4009.6831870942196	0.0	6	1.0	0.13958784471501134	0.9177776008671877	-0.6726710919703551	LPC(20:5)	542.32375	582.570199116169	4803_CCE1706_MZmine3_SIRIUS_1_34346
20	C30H50NO7P	[M + H]+	C30H50NO7P	4008.6979496446697	4008.6979496446697	0.0	6	0.9999999999999998	-0.17895894640905147	0.23812932493498556	-0.37897814204830854	LPC(22:6)	568.33955	595.9482985168443	5022_CCE1706_MZmine3_SIRIUS_1_35342
21	C21H44NO7P	[M + H]+	C21H44NO7P	4003.1228373025488	4003.1228373025488	0.0	5	0.9968736042876283	-0.9147650098348391	1.1468112248288809	-0.07539028714491415	LPE(16:0)	454.29278	610.1304042535205	5168_CCE1706_MZmine3_SIRIUS_1_35994
22	C22H46NO7P	[M + Na]+	C22H46NO7P	3998.2914121709046	3994.77246979671	3.5189423741945784	5	1.0	0.14904881873104675	0.21912780974961307	-0.5124643097124971	PC 14:0	490.29016	575.4765129089355	4734_CCE1706_MZmine3_SIRIUS_1_34075
23	C30H50NO7P	[M + Na]+	C30H50NO7P	3997.1410705669364	3997.1410705669364	0.0	6	1.0	0.6251225176443373	0.807750555003474	-0.7158270847449419	PC 22:6	590.32129	595.6934011855793	5034_CCE1706_MZmine3_SIRIUS_1_35418
24	C26H52NO7P	[M + Na]+	C26H52NO7P	3993.411732980894	3993.411732980894	0.0	6	1.0	0.8831714026839583	0.8831714026839583	1.5865136648729707	PC 18:1	544.33822	615.5209276690641	5386_CCE1706_MZmine3_SIRIUS_1_37144
25	C24H50NO7P	[M + Na]+	C24H50NO7P	3992.0614654639267	3992.0614654639267	0.0	6	1.0000000000000002	-0.2800057938733405	0.8266561879797287	-0.8778625736544856	PC 16:0	518.32126	612.8077689259769	5284_CCE1706_MZmine3_SIRIUS_1_36569
26	C25H44NO7P	[M + H]+	C25H44NO7P	3098.4249619833713	3098.4249619833713	0.0	52	0.9623869801084992	-0.6552338052337299	0.7786064832646845	-0.4410277859462084	LPE(20:4)	502.29259	594.7652940097594	5025_CCE1706_MZmine3_SIRIUS_1_35364
